#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-03-01T19:28:57 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5c7987698e15 
#INFO -out.max=unlimited 
#INFO queryParameters=20 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/AJ/140/631&tab:{J/AJ/140/631/catalog}&key:source=J/AJ/140/631&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/140/631/catalog
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=F225W
#-out=F275W
#-out=F336W
#-out=F435W
#-out=F606W
#-out=F625W
#-out=F658N
#-out=F814W
#

#RESOURCE=yCat_51400631
#Name: J/AJ/140/631
#Title: HST WFC3/UVIS photometry of omega Cen core (Bellini+, 2010)
#Coosys J2000_2003.290: eq_FK5 J2000    
#Table J_AJ_140_631_catalog:
#Name: J/AJ/140/631/catalog
#Title: Astrometric and photometric parameters for 32514 objects (Table 3 of the paper)
#---Details of Columns:
    Seq           (I5)    [1/32514] Star sequential number [ucd=meta.record]
    RAJ2000 (deg) (F11.7) Right ascension (J2000, Epoch J2003.29) [ucd=pos.eq.ra;meta.main]
    DEJ2000 (deg) (F11.7) Declination (J2000, Epoch J2003.29) [ucd=pos.eq.dec;meta.main]
    F225W (mag)   (F6.3)  HST F225W Vega-mag magnitude [ucd=phot.mag;em.UV]
    F275W (mag)   (F6.3)  HST F275W Vega-mag magnitude [ucd=phot.mag;em.UV.200-300nm]
    F336W (mag)   (F6.3)  HST F336W Vega-mag magnitude [ucd=phot.mag;em.opt.U]
    F435W (mag)   (F6.3)  HST F435W Vega-mag magnitude [ucd=phot.mag;em.opt.B]
    F606W (mag)   (F6.3)  HST F606W Vega-mag magnitude [ucd=phot.mag;em.opt.R]
    F625W (mag)   (F6.3)  HST F625W Vega-mag magnitude [ucd=phot.mag;em.opt.R]
    F658N (mag)   (F6.3)  HST F658N Vega-mag magnitude [ucd=phot.mag;em.opt.R]
    F814W (mag)   (F6.3)  HST F814W Vega-mag magnitude [ucd=phot.mag;em.opt.I]
----- ----------- ----------- ------ ------ ------ ------ ------ ------ ------ ------
Seq   RA          DE          F225W  F275W  F336W  F435W  F606W  F625W  F658N  F814W 
      J2000 (deg) J2000 (deg) (mag)  (mag)  (mag)  (mag)  (mag)  (mag)  (mag)  (mag) 
----- ----------- ----------- ------ ------ ------ ------ ------ ------ ------ ------
    1 201.7162676 -47.5126489 23.421 22.291 21.088 20.971 19.990 19.760 19.526 19.311
    2 201.7156870 -47.5123958 20.674 19.843 19.095 19.166 18.436 18.248 18.056 17.886
    3 201.7142821 -47.5123325 21.045 20.156 19.368 19.426 18.650 18.468 18.271 18.092
    4 201.7150112 -47.5122876 24.545 22.899 21.604 21.380 20.289 20.133 19.908 19.579
    5 201.7138235 -47.5122802 23.926 22.485 21.130 21.040 20.033 19.801 19.578 19.333
    6 201.7158384 -47.5122430 21.261 20.377 19.555 19.596 18.831 18.625 18.421 18.248
    7 201.7153042 -47.5121646 21.184 20.318 19.513 19.597 18.803 18.633 18.426 18.202
    8 201.7150457 -47.5121237 21.843 20.905 20.033 20.095 19.282 19.092 18.866 18.681
    9 201.7166455 -47.5121043 21.047 20.206 19.413 19.500 18.726 18.548 18.340 18.132
   10 201.7164538 -47.5120773 21.519 20.593 19.773 19.820 19.058 18.870 18.676 18.444
   11 201.7160569 -47.5120546 21.204 20.335 19.500 19.615 18.841 18.649 18.447 18.260
   12 201.7140263 -47.5120588 20.756 19.908 19.157 19.161 18.417 18.229 18.046 17.831
   13 201.7146236 -47.5119237 20.913 20.064 19.334 19.380 18.780 18.460 18.269 18.246
   14 201.7142068 -47.5119142 20.279 19.456 18.737 18.764 18.058 17.882 17.677 17.487
   15 201.7131605 -47.5118642 23.486 22.259 21.036 20.985 20.005 19.759 19.525 19.296
   16 201.7166472 -47.5118304 16.831 16.780 17.163 18.524 18.681 18.689 18.639 18.866
   17 201.7124556 -47.5117874 22.224 21.230 20.295 20.298 19.477 19.269 19.051 18.849
   18 201.7113976 -47.5117848 20.877 20.004 19.230 19.247 18.505 18.318 18.124 17.947
   19 201.7155725 -47.5117665 21.871 20.967 20.076 20.145 19.346 19.111 18.904 18.700
   20 201.7144901 -47.5117576 23.235 21.982 20.741 20.742 19.785 19.578 19.351 19.119
   21 201.7168145 -47.5117110 23.089 22.013 20.943 20.876 19.966 19.742 19.521 19.345
   22 201.7142840 -47.5116954 21.815 20.936 20.087 20.122 19.271 19.114 18.908 18.620
