JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440038.42	3.7			Vis.	LKS								V				ETA AQL		STD				
2440039.9167	3.6			Vis.	LKS								V				ETA AQL		STD				
2440040.9167	3.7			Vis.	LKS								V				ETA AQL		STD				
2440045.8958	3.8			Vis.	LKS								V				ETA AQL		STD				
2440047.8854	3.9			Vis.	LKS								V				ETA AQL		STD				
2440050.8958	4.3			Vis.	LKS								V				ETA AQL		STD				
2440053.8958	3.7			Vis.	LKS								V				ETA AQL		STD				
2440054.8958	3.9			Vis.	LKS								V				ETA AQL		STD				
2440060.8958	3.7			Vis.	LKS								V				ETA AQL		STD				
2440065.875	4.5			Vis.	LKS								V				ETA AQL		STD				
2440066.875	4.3			Vis.	LKS								V				ETA AQL		STD				
2440067.875	3.7			Vis.	LKS								V				ETA AQL		STD				
2440069.875	3.8			Vis.	LKS								V				ETA AQL		STD				
2440070.3854	3.9			Vis.	LKS								V				ETA AQL		STD				
2440071.375	4.3			Vis.	LKS								V				ETA AQL		STD				
2440073.375	4.4			Vis.	LKS								V				ETA AQL		STD				
2440074.3	3.7			Vis.	LKS								V				ETA AQL		STD				
2440079.3646	4.4			Vis.	LKS								V				ETA AQL		STD				
2440081.3542	3.9			Vis.	LKS								V				ETA AQL		STD				
2440083.3958	4.0			Vis.	LKS								V				ETA AQL		STD				
2440084.375	3.9			Vis.	LKS								V				ETA AQL		STD				
2440088.5	4.3			Vis.	TJ								V				ETA AQL		STD				
2440089.375	3.8			Vis.	LKS								V				ETA AQL		STD				
2440089.5	4.5			Vis.	TJ								V				ETA AQL		STD				
2440090.6	3.7			Vis.	TJ								V				ETA AQL		STD				
2440091.3854	4.0			Vis.	LKS								V				ETA AQL		STD				
2440097.3542	3.8			Vis.	LKS								V				ETA AQL		STD				
2440107.7	4.5			Vis.	CK								V				ETA AQL		STD				
2440108.31	4.3			Vis.	LKS								V				ETA AQL		STD				
2440108.8	4.5			Vis.	CK								V				ETA AQL		STD				
2440109.8	4.3			Vis.	CK								V				ETA AQL		STD				
2440110.6	3.9			Vis.	DVO								V				ETA AQL		STD				
2440112.6	3.7			Vis.	DVO								V				ETA AQL		STD				
2440113.6	3.9			Vis.	DVO								V				ETA AQL		STD				
2440123.3	4.4			Vis.	LKS								V				ETA AQL		STD				
2440125.33	3.6			Vis.	LKS								V				ETA AQL		STD				
2440125.6	3.4			Vis.	DVO								V				ETA AQL		STD				
2440126.26	3.8			Vis.	LKS								V				ETA AQL		STD				
