JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440218.7	7.2			Vis.	LYR								V				RS PUP		STD				
2441361.8	6.5			Vis.	CR								V				RS PUP		STD				
2441383.7	7.3			Vis.	CR								V				RS PUP		STD				
2441392.7	8.0			Vis.	CR								V				RS PUP		STD				
2441725.5	7.5			Vis.	FER								V				RS PUP		STD				
2441733.5	6.8			Vis.	FER								V				RS PUP		STD				
2441735.6	6.3			Vis.	MAN								V				RS PUP		STD				
2441736.7	6.1			Vis.	MAN								V				RS PUP		STD				
2441737.7	6.4			Vis.	MAN								V				RS PUP		STD				
2441738.7	6.6			Vis.	MAN								V				RS PUP		STD				
2441739.7	6.7			Vis.	MAN								V				RS PUP		STD				
2441744.5	7.2			Vis.	FER								V				RS PUP		STD				
2441745.7	6.9			Vis.	MAN								V				RS PUP		STD				
2441746.6	7.0			Vis.	MAN								V				RS PUP		STD				
2441747.6	7.2			Vis.	MAN								V				RS PUP		STD				
2441748.6	7.1			Vis.	MAN								V				RS PUP		STD				
2441749.6	7.0			Vis.	MAN								V				RS PUP		STD				
2441751.5	7.4			Vis.	FER								V				RS PUP		STD				
2441751.7	7.0			Vis.	MAN								V				RS PUP		STD				
2441752.6	7.0			Vis.	MAN								V				RS PUP		STD				
2441753.6	7.4			Vis.	MAN								V				RS PUP		STD				
2441754.6	7.5			Vis.	MAN								V				RS PUP		STD				
2441756.6	7.6			Vis.	MAN								V				RS PUP		STD				
2441763.6	8.0			Vis.	MAN								V				RS PUP		STD				
2441764.5	7.6			Vis.	FER								V				RS PUP		STD				
2441767.6	7.8			Vis.	MAN								V				RS PUP		STD				
2441768.6	7.9			Vis.	MAN								V				RS PUP		STD				
2441770.7	8.0			Vis.	CR								V				RS PUP		STD				
2441771.5	7.2			Vis.	FER								V				RS PUP		STD				
2441772.6	7.0			Vis.	MAN								V				RS PUP		STD				
2441780.5	7.0			Vis.	FER								V				RS PUP		STD				
2441780.7	6.7			Vis.	CR								V				RS PUP		STD				
2441781.6	6.5			Vis.	MAN								V				RS PUP		STD				
2441782.6	6.6			Vis.	MAN								V				RS PUP		STD				
2441784.6	6.7			Vis.	MAN								V				RS PUP		STD				
2441792.5	7.2			Vis.	FER								V				RS PUP		STD				
2441794.6	7.1			Vis.	MAN								V				RS PUP		STD				
2441801.5	7.5			Vis.	FER								V				RS PUP		STD				
2441815.0	7.2			Vis.	FER								V				RS PUP		STD				
2441823.0	7.1			Vis.	FER								V				RS PUP		STD				
2441834.0	7.1			Vis.	FER								V				RS PUP		STD				
2441848.1	7.5			Vis.	FER								V				RS PUP		STD				
2441980.9	7.0			Vis.	MDD								V				RS PUP		STD				
2441981.9	6.8			Vis.	MDD								V				RS PUP		STD				
2441987.9	6.8			Vis.	MDD								V				RS PUP		STD				
2441988.0	6.5			Vis.	MAN								V				RS PUP		STD				
2441990.0	6.7			Vis.	MAN								V				RS PUP		STD				
2441992.0	6.8			Vis.	MAN								V				RS PUP		STD				
2441993.0	6.9			Vis.	MDD								V				RS PUP		STD				
2442004.1	7.1			Vis.	FER								V				RS PUP		STD				
2442015.1	7.8			Vis.	FER								V				RS PUP		STD				
2442020.0	6.9			Vis.	MDD								V				RS PUP		STD				
2442039.7	6.8			Vis.	MAN								V				RS PUP		STD				
2442039.8	8.0			Vis.	MDD								V				RS PUP		STD				
2442043.7	7.4			Vis.	GAS								V				RS PUP		STD				
2442044.8	7.6			Vis.	MDD								V				RS PUP		STD				
