JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440104.0	5.4			Vis.	SKL								V				RT AUR		STD				
2440150.8	4.9			Vis.	SWR								V				RT AUR		STD				
2440156.7	5.7			Vis.	SWR								V				RT AUR		STD				
2440161.8	4.7			Vis.	SWR								V				RT AUR		STD				
2440173.8	5.7			Vis.	SWR								V				RT AUR		STD				
2440180.7	4.8			Vis.	SWR								V				RT AUR		STD				
2440183.8	4.9			Vis.	SWR								V				RT AUR		STD				
2440186.8	5.6			Vis.	SWR								V				RT AUR		STD				
2440219.7	4.5			Vis.	SKL								V				RT AUR		STD				
2440233.6	5.3			Vis.	SWR								V				RT AUR		STD				
2440234.7	5.9			Vis.	SWR								V				RT AUR		STD				
2440236.7	4.8			Vis.	SWR								V				RT AUR		STD				
2440244.7	5.2			Vis.	SKL								V				RT AUR		STD				
2440245.7	5.5			Vis.	SKL								V				RT AUR		STD				
2440277.7	5.5			Vis.	SKL								V				RT AUR		STD				
2440287.3263	5.6			Vis.	ILS								V				RT AUR		STD				
2440311.6	5.6			Vis.	SWR								V				RT AUR		STD				
2440312.7	5.5			Vis.	SKL								V				RT AUR		STD				
2440313.5	5.6			Vis.	SKL								V				RT AUR		STD				
2440313.6	5.9			Vis.	SWR								V				RT AUR		STD				
2440314.5	5.4			Vis.	SKL								V				RT AUR		STD				
2440316.5	5.6			Vis.	SKL								V				RT AUR		STD				
2440317.5	5.4			Vis.	SKL								V				RT AUR		STD				
2440319.5	5.5			Vis.	KAN								V				RT AUR		STD				
2440319.6	5.4			Vis.	SV								V				RT AUR		STD				
2440320.5	5.7			Vis.	KAN								V				RT AUR		STD				
2440321.5	4.8			Vis.	SKL								V				RT AUR		STD				
2440321.5	5.2			Vis.	SWR								V				RT AUR		STD				
2440322.5	5.3			Vis.	KAN								V				RT AUR		STD				
2440323.5	5.9			Vis.	SWR								V				RT AUR		STD				
2440324.6	5.7			Vis.	SKL								V				RT AUR		STD				
2440324.6	6.1			Vis.	SWR								V				RT AUR		STD				
2440331.5	6.0			Vis.	SWR								V				RT AUR		STD				
2440331.6	5.4			Vis.	SKL								V				RT AUR		STD				
2440332.6	5.9			Vis.	SWR								V				RT AUR		STD				
2440333.7	5.1			Vis.	SWR								V				RT AUR		STD				
2440334.5	6.1			Vis.	SKL								V				RT AUR		STD				
2440335.5	6.0			Vis.	SKL								V				RT AUR		STD				
2440336.5	4.7			Vis.	SKL								V				RT AUR		STD				
2440338.5	5.8			Vis.	KAN								V				RT AUR		STD				
2440338.5	5.5			Vis.	SKL								V				RT AUR		STD				
2440339.5	5.6			Vis.	KAN								V				RT AUR		STD				
2440339.6	6.0			Vis.	SWR								V				RT AUR		STD				
2440340.5	4.7			Vis.	SKL								V				RT AUR		STD				
2440347.7	5.4			Vis.	SKL								V				RT AUR		STD				
2440348.7	5.5			Vis.	SKL								V				RT AUR		STD				
2440349.6	5.6			Vis.	SKL								V				RT AUR		STD				
2440350.7	5.6			Vis.	SKL								V				RT AUR		STD				
2440352.6	5.6			Vis.	SWR								V				RT AUR		STD				
2440352.7	5.4			Vis.	SKL								V				RT AUR		STD				
2440355.7	5.2			Vis.	SKL								V				RT AUR		STD				
2440527.7	5.5			Vis.	BRG								V				RT AUR		STD				
2440558.7	5.7			Vis.	RNT								V				RT AUR		STD				
2440583.33	5.2			Vis.	DAW								V				RT AUR		STD				
2440583.6	4.8			Vis.	GRN								V				RT AUR		STD				
2440583.7	5.6			Vis.	SWR								V				RT AUR		STD				
2440584.335	5.0			Vis.	LKS								V				RT AUR		STD				
2440584.5	5.6			Vis.	GRN								V				RT AUR		STD				
2440591.24	4.7			Vis.	LKS								V				RT AUR		STD				
2440591.6	5.8			Vis.	GRN								V				RT AUR		STD				
2440593.343	5.4			Vis.	LKS								V				RT AUR		STD				
2440594.292	4.7			Vis.	LKS								V				RT AUR		STD				
2440595.208	4.9			Vis.	LKS								V				RT AUR		STD				
2440597.261	5.2			Vis.	LKS								V				RT AUR		STD				
2440606.7	5.4			Vis.	GRN								V				RT AUR		STD				
2440612.229	5.4			Vis.	LKS								V				RT AUR		STD				
2440612.375	5.1			Vis.	DAW								V				RT AUR		STD				
2440617.6	5.3			Vis.	GRN								V				RT AUR		STD				
2440618.4553	5.6			Vis.	DAW								V				RT AUR		STD				
2440618.6	6.1			Vis.	SWR								V				RT AUR		STD				
2440623.25	5.3			Vis.	LKS								V				RT AUR		STD				
2440633.271	5.1			Vis.	LKS								V				RT AUR		STD				
2440638.6	4.7			Vis.	SKL								V				RT AUR		STD				
2440645.54	6.2			Vis.	DAW								V				RT AUR		STD				
2440648.405	5.7			Vis.	LKS								V				RT AUR		STD				
2440649.271	5.2			Vis.	LKS								V				RT AUR		STD				
2440652.271	5.4			Vis.	LKS								V				RT AUR		STD				
2440655.385	5.2			Vis.	LKS								V				RT AUR		STD				
2440656.271	5.6			Vis.	LKS								V				RT AUR		STD				
2440660.271	5.6			Vis.	LKS								V				RT AUR		STD				
2440660.6	5.4			Vis.	HDG								V				RT AUR		STD				
2440666.6	5.8			Vis.	HDG								V				RT AUR		STD				
2440667.354	5.2			Vis.	LKS								V				RT AUR		STD				
2440668.271	4.7			Vis.	LKS								V				RT AUR		STD				
2440669.438	5.3			Vis.	LKS								V				RT AUR		STD				
2440673.6	5.3			Vis.	HDG								V				RT AUR		STD				
2440674.5	5.9			Vis.	HDG								V				RT AUR		STD				
2440675.3	5.6			Vis.	LKS								V				RT AUR		STD				
2440676.5	5.2			Vis.	HDG								V				RT AUR		STD				
2440680.5	5.2			Vis.	HDG								V				RT AUR		STD				
2440682.5	5.6			Vis.	HDG								V				RT AUR		STD				
2440683.7	4.7			Vis.	BUW								V				RT AUR		STD				
2440684.6	5.3			Vis.	HDG								V				RT AUR		STD				
2440685.6	5.7			Vis.	HDG								V				RT AUR		STD				
2440686.6	5.6			Vis.	HDG								V				RT AUR		STD				
2440692.6	5.7			Vis.	HDG								V				RT AUR		STD				
2440693.6	5.9			Vis.	HDG								V				RT AUR		STD				
2440695.6	5.4			Vis.	SWR								V				RT AUR		STD				
2440698.6	5.3			Vis.	HDG								V				RT AUR		STD				
2440700.6	5.8			Vis.	HDG								V				RT AUR		STD				
2440702.6	5.2			Vis.	HDG								V				RT AUR		STD				
2440703.6	5.4			Vis.	HDG								V				RT AUR		STD				
2440704.6	5.7			Vis.	HDG								V				RT AUR		STD				
2440705.6	5.2			Vis.	HDG								V				RT AUR		STD				
