JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440038.7	6.0			Vis.	LYR								V				S SGE		STD				
2440499.3	5.4			Vis.	KIS								V				S SGE	AFOEV	STD				
2440745.469	5.5			Vis.	LKS								V				S SGE		STD				
2440746.457	5.8			Vis.	LKS								V				S SGE		STD				
2440749.478	5.8			Vis.	LKS								V				S SGE		STD				
2440751.478	5.4			Vis.	LKS								V				S SGE		STD				
2440752.491	5.6			Vis.	LKS								V				S SGE		STD				
2440753.478	5.7			Vis.	LKS								V				S SGE		STD				
2440755.478	5.8			Vis.	LKS								V				S SGE		STD				
2440756.478	6.0			Vis.	LKS								V				S SGE		STD				
2440757.5	5.8			Vis.	LKS								V				S SGE		STD				
2440758.502	5.5			Vis.	LKS								V				S SGE		STD				
2440759.5	5.5			Vis.	LKS								V				S SGE		STD				
2440763.5	5.9			Vis.	LKS								V				S SGE		STD				
2440764.479	5.8			Vis.	LKS								V				S SGE		STD				
2440765.5	6.0			Vis.	LKS								V				S SGE		STD				
2440767.458	5.5			Vis.	LKS								V				S SGE		STD				
2440773.4	5.9			Vis.	LKS								V				S SGE		STD				
2440774.438	5.8			Vis.	LKS								V				S SGE		STD				
2440775.438	6.0			Vis.	LKS								V				S SGE		STD				
2440776.438	5.4			Vis.	LKS								V				S SGE		STD				
2440778.438	5.4			Vis.	LKS								V				S SGE		STD				
2440786.438	5.5			Vis.	LKS								V				S SGE		STD				
2440797.438	5.8			Vis.	LKS								V				S SGE		STD				
2440802.5	5.1			Vis.	KIS								V				S SGE	AFOEV	STD				
2440804.3	5.3			Vis.	KIS								V				S SGE	AFOEV	STD				
2440805.469	5.9			Vis.	LKS								V				S SGE		STD				
2440806.458	6.0			Vis.	LKS								V				S SGE		STD				
2440810.4	5.2			Vis.	KIS								V				S SGE	AFOEV	STD				
2440810.438	5.5			Vis.	LKS								V				S SGE		STD				
2440812.4	5.1			Vis.	KIS								V				S SGE	AFOEV	STD				
2440812.438	5.9			Vis.	LKS								V				S SGE		STD				
2440818.4	5.1			Vis.	KIS								V				S SGE	AFOEV	STD				
2440818.438	5.6			Vis.	LKS								V				S SGE		STD				
2440823.4	5.8			Vis.	KIS								V				S SGE	AFOEV	STD				
2440823.438	5.6			Vis.	LKS								V				S SGE		STD				
2440825.426	5.8			Vis.	LKS								V				S SGE		STD				
2440826.417	5.5			Vis.	LKS								V				S SGE		STD				
2440827.417	5.7			Vis.	LKS								V				S SGE		STD				
2440829.417	5.5			Vis.	LKS								V				S SGE		STD				
2440830.417	5.8			Vis.	LKS								V				S SGE		STD				
2440831.4	5.7			Vis.	KIS								V				S SGE	AFOEV	STD				
2440832.354	5.8			Vis.	LKS								V				S SGE		STD				
2440835.354	5.5			Vis.	LKS								V				S SGE		STD				
2440836.354	5.4			Vis.	LKS								V				S SGE		STD				
2440837.333	5.7			Vis.	LKS								V				S SGE		STD				
2440837.4	5.1			Vis.	KIS								V				S SGE	AFOEV	STD				
2440838.354	5.5			Vis.	LKS								V				S SGE		STD				
2440845.333	5.5			Vis.	LKS								V				S SGE		STD				
2440848.375	5.7			Vis.	LKS								V				S SGE		STD				
2440851.354	6.0			Vis.	LKS								V				S SGE		STD				
2440852.354	5.5			Vis.	LKS								V				S SGE		STD				
2440853.375	5.4			Vis.	LKS								V				S SGE		STD				
2440856.375	5.7			Vis.	LKS								V				S SGE		STD				
2440857.417	5.9			Vis.	LKS								V				S SGE		STD				
2440859.354	5.7			Vis.	LKS								V				S SGE		STD				
2440862.396	5.7			Vis.	LKS								V				S SGE		STD				
2440866.365	5.7			Vis.	LKS								V				S SGE		STD				
2440898.315	5.9			Vis.	LKS								V				S SGE		STD				
2440944.4	5.9			Vis.	LKS								V				S SGE		STD				
2441134.4	5.8			Vis.	KIS								V				S SGE	AFOEV	STD				
2441138.437	5.4			Vis.	LKS								V				S SGE		STD				
2441139.384	5.9			Vis.	LKS								V				S SGE		STD				
2441140.437	6.0			Vis.	LKS								V				S SGE		STD				
2441141.4	6.1			Vis.	KIS								V				S SGE	AFOEV	STD				
2441141.417	6.1			Vis.	LKS								V				S SGE		STD				
2441142.417	5.8			Vis.	LKS								V				S SGE		STD				
2441146.437	5.7			Vis.	LKS								V				S SGE		STD				
2441148.4	5.2			Vis.	KIS								V				S SGE	AFOEV	STD				
2441148.417	5.8			Vis.	LKS								V				S SGE		STD				
2441149.437	5.6			Vis.	LKS								V				S SGE		STD				
2441150.417	5.8			Vis.	LKS								V				S SGE		STD				
2441151.417	5.9			Vis.	LKS								V				S SGE		STD				
2441153.417	5.4			Vis.	LKS								V				S SGE		STD				
2441154.417	5.5			Vis.	LKS								V				S SGE		STD				
2441158.417	6.0			Vis.	LKS								V				S SGE		STD				
2441160.417	5.9			Vis.	LKS								V				S SGE		STD				
2441161.417	5.7			Vis.	LKS								V				S SGE		STD				
2441163.396	5.8			Vis.	LKS								V				S SGE		STD				
2441168.4	5.9			Vis.	KIS								V				S SGE	AFOEV	STD				
2441178.375	5.4			Vis.	LKS								V				S SGE		STD				
2441181.333	5.7			Vis.	LKS								V				S SGE		STD				
2441182.354	5.8			Vis.	LKS								V				S SGE		STD				
2441183.354	6.1			Vis.	LKS								V				S SGE		STD				
2441184.354	6.2			Vis.	LKS								V				S SGE		STD				
2441188.333	5.6			Vis.	LKS								V				S SGE		STD				
2441190.333	5.9			Vis.	LKS								V				S SGE		STD				
2441193.333	5.8			Vis.	LKS								V				S SGE		STD				
2441195.375	5.7			Vis.	LKS								V				S SGE		STD				
2441201.333	5.8			Vis.	LKS								V				S SGE		STD				
2441202.333	5.8			Vis.	LKS								V				S SGE		STD				
2441206.375	6.0			Vis.	LKS								V				S SGE		STD				
2441209.333	5.9			Vis.	LKS								V				S SGE		STD				
2441210.333	5.4			Vis.	LKS								V				S SGE		STD				
2441211.333	5.6			Vis.	LKS								V				S SGE		STD				
2441212.333	6.0			Vis.	LKS								V				S SGE		STD				
2441217.333	6.0			Vis.	LKS								V				S SGE		STD				
2441225.292	6.1			Vis.	LKS								V				S SGE		STD				
2441235.271	6.2			Vis.	LKS								V				S SGE		STD				
2441241.396	5.8			Vis.	LKS								V				S SGE		STD				
2441243.333	5.7			Vis.	LKS								V				S SGE		STD				
2441249.333	5.7			Vis.	LKS								V				S SGE		STD				
2441252.396	5.9			Vis.	LKS								V				S SGE		STD				
2441255.25	5.7			Vis.	LKS								V				S SGE		STD				
2441858.417	5.3			Vis.	LKS								V				S SGE		STD				
2441862.417	5.8			Vis.	LKS								V				S SGE		STD				
2441864.354	5.1			Vis.	LKS								V				S SGE		STD				
2441865.417	5.6			Vis.	LKS								V				S SGE		STD				
2441866.375	5.4			Vis.	LKS								V				S SGE		STD				
2441868.375	5.4			Vis.	LKS								V				S SGE		STD				
2441869.417	5.8			Vis.	LKS								V				S SGE		STD				
2441870.417	5.9			Vis.	LKS								V				S SGE		STD				
2441872.396	5.5			Vis.	LKS								V				S SGE		STD				
2441872.58	6.0			Vis.	SLB								V				S SGE		STD				
2441873.417	5.9			Vis.	LKS								V				S SGE		STD				
2441875.9	5.5			Vis.	SLB								V				S SGE		STD				
2441878.417	5.9			Vis.	LKS								V				S SGE		STD				
2441879.88	6.0			Vis.	SLB								V				S SGE		STD				
2441880.417	6.0			Vis.	LKS								V				S SGE		STD				
2441880.9	6.0			Vis.	SLB								V				S SGE		STD				
2441881.59	6.1			Vis.	SLB								V				S SGE		STD				
2441882.57	5.6			Vis.	SLB								V				S SGE		STD				
2441882.91	5.4			Vis.	SLB								V				S SGE		STD				
2441884.59	5.7			Vis.	SLB								V				S SGE		STD				
2441886.9	6.0			Vis.	SLB								V				S SGE		STD				
2441887.55	6.3			Vis.	SLB								V				S SGE		STD				
2441888.54	6.3			Vis.	SLB								V				S SGE		STD				
2441889.57	6.2			Vis.	SLB								V				S SGE		STD				
2441890.57	5.6			Vis.	SLB								V				S SGE		STD				
2441892.375	5.5			Vis.	LKS								V				S SGE		STD				
2441893.375	5.2			Vis.	LKS								V				S SGE		STD				
2441893.55	6.0			Vis.	SLB								V				S SGE		STD				
2441894.375	5.6			Vis.	LKS								V				S SGE		STD				
2441895.375	5.9			Vis.	LKS								V				S SGE		STD				
2441895.63	6.1			Vis.	SLB								V				S SGE		STD				
2441896.55	6.3			Vis.	SLB								V				S SGE		STD				
2441898.58	6.0			Vis.	SLB								V				S SGE		STD				
2441899.57	5.4			Vis.	SLB								V				S SGE		STD				
2441900.6	5.6			Vis.	SLB								V				S SGE		STD				
2441902.375	5.3			Vis.	LKS								V				S SGE		STD				
2441903.55	6.1			Vis.	SLB								V				S SGE		STD				
2441905.59	6.2			Vis.	SLB								V				S SGE		STD				
2441906.57	6.1			Vis.	SLB								V				S SGE		STD				
2441907.58	5.3			Vis.	SLB								V				S SGE		STD				
2441908.417	5.6			Vis.	LKS								V				S SGE		STD				
2441908.55	5.4			Vis.	SLB								V				S SGE		STD				
2441909.333	5.6			Vis.	LKS								V				S SGE		STD				
2441910.375	5.5			Vis.	LKS								V				S SGE		STD				
2441910.56	6.0			Vis.	SLB								V				S SGE		STD				
2441911.66	6.2			Vis.	SLB								V				S SGE		STD				
2441912.59	6.2			Vis.	SLB								V				S SGE		STD				
2441913.55	6.2			Vis.	SLB								V				S SGE		STD				
2441917.333	5.3			Vis.	LKS								V				S SGE		STD				
2441917.56	5.4			Vis.	SLB								V				S SGE		STD				
2441918.54	5.6			Vis.	SLB								V				S SGE		STD				
2441919.56	6.0			Vis.	SLB								V				S SGE		STD				
2441920.61	6.2			Vis.	SLB								V				S SGE		STD				
2441921.57	6.3			Vis.	SLB								V				S SGE		STD				
2441922.58	6.2			Vis.	SLB								V				S SGE		STD				
2441923.56	5.9			Vis.	SLB								V				S SGE		STD				
2441927.354	5.6			Vis.	LKS								V				S SGE		STD				
2441928.6	6.3			Vis.	SLB								V				S SGE		STD				
2441929.52	6.3			Vis.	SLB								V				S SGE		STD				
2441930.354	6.0			Vis.	LKS								V				S SGE		STD				
2441930.55	6.2			Vis.	SLB								V				S SGE		STD				
2441931.55	6.0			Vis.	SLB								V				S SGE		STD				
2441932.55	5.4			Vis.	SLB								V				S SGE		STD				
2441934.333	5.4			Vis.	LKS								V				S SGE		STD				
2441935.51	5.8			Vis.	SLB								V				S SGE		STD				
2441936.354	5.8			Vis.	LKS								V				S SGE		STD				
2441939.375	5.8			Vis.	LKS								V				S SGE		STD				
2441940.333	5.7			Vis.	LKS								V				S SGE		STD				
2441942.333	5.3			Vis.	LKS								V				S SGE		STD				
2441943.333	5.4			Vis.	LKS								V				S SGE		STD				
2441949.57	5.3			Vis.	SLB								V				S SGE		STD				
2441950.56	5.4			Vis.	SLB								V				S SGE		STD				
2441951.333	5.5			Vis.	LKS								V				S SGE		STD				
2441951.57	5.3			Vis.	SLB								V				S SGE		STD				
2441952.54	5.5			Vis.	SLB								V				S SGE		STD				
2441953.375	5.3			Vis.	LKS								V				S SGE		STD				
2441953.53	6.1			Vis.	SLB								V				S SGE		STD				
2441955.56	6.2			Vis.	SLB								V				S SGE		STD				
2441956.52	6.0			Vis.	SLB								V				S SGE		STD				
2441957.373	5.4			Vis.	LKS								V				S SGE		STD				
2441958.56	5.4			Vis.	SLB								V				S SGE		STD				
2441960.396	5.6			Vis.	LKS								V				S SGE		STD				
2441962.56	5.9			Vis.	SLB								V				S SGE		STD				
2441963.51	6.1			Vis.	SLB								V				S SGE		STD				
2441965.62	5.4			Vis.	SLB								V				S SGE		STD				
2441966.52	5.2			Vis.	SLB								V				S SGE		STD				
2441967.53	5.3			Vis.	SLB								V				S SGE		STD				
2441968.333	5.5			Vis.	LKS								V				S SGE		STD				
2441970.56	5.8			Vis.	SLB								V				S SGE		STD				
2441971.5	6.1			Vis.	SLB								V				S SGE		STD				
2441972.5	5.8			Vis.	SLB								V				S SGE		STD				
2441973.25	5.9			Vis.	LKS								V				S SGE		STD				
2441973.57	5.4			Vis.	SLB								V				S SGE		STD				
2441976.313	5.3			Vis.	LKS								V				S SGE		STD				
2441978.64	5.9			Vis.	SLB								V				S SGE		STD				
2441979.57	5.9			Vis.	SLB								V				S SGE		STD				
2441980.53	6.1			Vis.	SLB								V				S SGE		STD				
2441981.62	5.5			Vis.	SLB								V				S SGE		STD				
2441982.58	5.3			Vis.	SLB								V				S SGE		STD				
2441983.53	5.2			Vis.	SLB								V				S SGE		STD				
2441984.375	5.5			Vis.	LKS								V				S SGE		STD				
2441985.292	5.2			Vis.	LKS								V				S SGE		STD				
2441985.53	5.4			Vis.	SLB								V				S SGE		STD				
