JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440000.7	9.6			Vis.	AC								V				S VUL		STD				
2440002.7	10.2			Vis.	HE								V				S VUL		STD				
2440003.6	8.8			Vis.	SKR								V				S VUL		STD				
2440010.7	8.7			Vis.	KRS								V				S VUL		STD				
2440011.8	9.7			Vis.	AC								V				S VUL		STD				
2440013.8	8.8			Vis.	KRS								V				S VUL		STD				
2440022.7	9.6			Vis.	AC								V				S VUL		STD				
2440023.8	9.3			Vis.	CR								V				S VUL		STD				
2440026.8	9.6			Vis.	AC								V				S VUL		STD				
2440027.7	9.5			Vis.	AC								V				S VUL		STD				
2440027.7	10.0			Vis.	HE								V				S VUL		STD				
2440028.6	9.1			Vis.	LX								V				S VUL		STD				
2440028.6	9.1			Vis.	OV								V				S VUL		STD				
2440028.8	8.8			Vis.	FD								V				S VUL		STD				
2440029.7	9.6			Vis.	AC								V				S VUL		STD				
2440030.7	8.6			Vis.	KRS								V				S VUL		STD				
2440031.7	9.6			Vis.	AC								V				S VUL		STD				
2440034.7	9.6			Vis.	AC								V				S VUL		STD				
2440035.7	9.6			Vis.	AC								V				S VUL		STD				
2440036.7	9.6			Vis.	AC								V				S VUL		STD				
2440036.7	9.1			Vis.	LX								V				S VUL		STD				
2440036.8	9.6			Vis.	CR								V				S VUL		STD				
2440038.6	9.6			Vis.	AC								V				S VUL		STD				
2440039.6	10.0			Vis.	HE								V				S VUL		STD				
2440040.7	9.5			Vis.	AC								V				S VUL		STD				
2440042.7	9.5			Vis.	AC								V				S VUL		STD				
2440042.7	10.0			Vis.	HE								V				S VUL		STD				
2440043.6	9.6			Vis.	AC								V				S VUL		STD				
2440044.6	9.0			Vis.	OV								V				S VUL		STD				
2440046.7	9.6			Vis.	AC								V				S VUL		STD				
2440047.7	9.5			Vis.	AC								V				S VUL		STD				
2440048.7	9.6			Vis.	AC								V				S VUL		STD				
2440052.7	9.6			Vis.	AC								V				S VUL		STD				
2440053.7	9.6			Vis.	AC								V				S VUL		STD				
2440054.7	9.6			Vis.	AC								V				S VUL		STD				
2440056.6	9.6			Vis.	AC								V				S VUL		STD				
2440056.7	9.7			Vis.	CR								V				S VUL		STD				
2440057.6	9.6			Vis.	AC								V				S VUL		STD				
2440057.7	10.1			Vis.	HE								V				S VUL		STD				
2440058.6	9.5			Vis.	LX								V				S VUL		STD				
2440058.6	9.2			Vis.	OV								V				S VUL		STD				
2440058.7	9.7			Vis.	AC								V				S VUL		STD				
2440059.6	9.4			Vis.	LVT								V				S VUL		STD				
2440059.7	9.7			Vis.	AC								V				S VUL		STD				
2440061.7	9.6			Vis.	AC								V				S VUL		STD				
2440062.8	9.7			Vis.	AC								V				S VUL		STD				
2440064.6	9.4			Vis.	LVT								V				S VUL		STD				
2440065.7	9.6			Vis.	AC								V				S VUL		STD				
2440066.6	9.6			Vis.	AC								V				S VUL		STD				
2440066.6	9.6			Vis.	LX								V				S VUL		STD				
2440066.6	9.2			Vis.	OV								V				S VUL		STD				
2440067.7	9.5			Vis.	LVT								V				S VUL		STD				
2440068.6	9.6			Vis.	LVT								V				S VUL		STD				
2440069.7	9.8			Vis.	AC								V				S VUL		STD				
2440070.7	9.8			Vis.	AC								V				S VUL		STD				
2440071.7	9.7			Vis.	AC								V				S VUL		STD				
2440073.7	9.6			Vis.	AC								V				S VUL		STD				
2440078.6	9.6			Vis.	AC								V				S VUL		STD				
2440079.7	9.6			Vis.	AC								V				S VUL		STD				
2440079.7	9.6			Vis.	TJ								V				S VUL		STD				
2440080.6	9.1			Vis.	OV								V				S VUL		STD				
2440081.7	9.5			Vis.	AC								V				S VUL		STD				
2440082.7	9.7			Vis.	AC								V				S VUL		STD				
2440083.4708	9.0			Vis.	ILS								V				S VUL		STD				
2440083.5	9.0			Vis.	ILS								V				S VUL		STD				
2440084.6	9.6			Vis.	AC								V				S VUL		STD				
2440085.7	9.6			Vis.	AC								V				S VUL		STD				
2440086.6	9.6			Vis.	AC								V				S VUL		STD				
2440087.6	9.1			Vis.	OV								V				S VUL		STD				
2440088.6	9.7			Vis.	AC								V				S VUL		STD				
2440089.8	9.8			Vis.	AC								V				S VUL		STD				
2440090.6	9.2			Vis.	LX								V				S VUL		STD				
2440090.7	9.7			Vis.	AC								V				S VUL		STD				
2440091.3986	8.8			Vis.	ILS								V				S VUL		STD				
2440091.4	8.8			Vis.	ILS								V				S VUL		STD				
2440091.6	9.2			Vis.	TJ								V				S VUL		STD				
2440091.7	9.7			Vis.	AC								V				S VUL		STD				
2440094.7	9.6			Vis.	AC								V				S VUL		STD				
2440095.7	9.8			Vis.	AC								V				S VUL		STD				
2440096.6	9.0			Vis.	OV								V				S VUL		STD				
2440097.6	9.7			Vis.	AC								V				S VUL		STD				
2440097.6	10.0			Vis.	TJ								V				S VUL		STD				
2440098.7	9.7			Vis.	AC								V				S VUL		STD				
2440100.6	9.7			Vis.	AC								V				S VUL		STD				
2440100.6	9.2			Vis.	LX								V				S VUL		STD				
2440101.8	9.8			Vis.	AC								V				S VUL		STD				
2440103.6	9.2			Vis.	LX								V				S VUL		STD				
2440106.4	9.8			Vis.	ILS								V				S VUL		STD				
2440106.4062	9.9			Vis.	ILS								V				S VUL		STD				
2440107.6	9.3			Vis.	LX								V				S VUL		STD				
2440109.6	9.7			Vis.	AC								V				S VUL		STD				
2440110.6	9.7			Vis.	AC								V				S VUL		STD				
2440112.6	9.7			Vis.	AC								V				S VUL		STD				
2440112.6	9.1			Vis.	LX								V				S VUL		STD				
2440112.6	9.2			Vis.	OV								V				S VUL		STD				
2440114.6	9.3			Vis.	LX								V				S VUL		STD				
2440115.7	9.8			Vis.	AC								V				S VUL		STD				
2440117.6	8.8			Vis.	FD								V				S VUL		STD				
2440118.6	9.3			Vis.	LX								V				S VUL		STD				
2440118.7	9.8			Vis.	AC								V				S VUL		STD				
