JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2442370.53	7.4			Vis.	OCN								V				U VUL		STD				
2442574.7	7.2			Vis.	LX								V				U VUL		STD				
2442596.6	7.4			Vis.	LX								V				U VUL		STD				
2442620.7	7.6			Vis.	LX								V				U VUL		STD				
2442625.6	7.4			Vis.	LX								V				U VUL		STD				
2442633.7	7.4			Vis.	LX								V				U VUL		STD				
2442651.6	7.5			Vis.	LX								V				U VUL		STD				
2442661.5	7.2			Vis.	LX								V				U VUL		STD				
2442670.7	7.2			Vis.	LX								V				U VUL		STD				
2442689.5	7.4			Vis.	LX								V				U VUL		STD				
2442702.6	7.2			Vis.	LX								V				U VUL		STD				
2442707.6	7.7			Vis.	LX								V				U VUL		STD				
2442709.5	7.1			Vis.	LX								V				U VUL		STD				
2442711.6	7.3			Vis.	LX								V				U VUL		STD				
2442717.6	7.3			Vis.	LX								V				U VUL		STD				
2442721.6	7.8			Vis.	LX								V				U VUL		STD				
2442727.6	7.3			Vis.	LX								V				U VUL		STD				
2442748.5	7.7			Vis.	LX								V				U VUL		STD				
2442754.5	7.7			Vis.	LX								V				U VUL		STD				
2442779.5	7.4			Vis.	LX								V				U VUL		STD				
2442921.7	7.4			Vis.	LX								V				U VUL		STD				
2442934.6	7.2			Vis.	LX								V				U VUL		STD				
2442952.6	7.3			Vis.	LX								V				U VUL		STD				
2442957.6	7.2			Vis.	LX								V				U VUL		STD				
2442964.6	7.4			Vis.	LX								V				U VUL		STD				
2442974.6	7.4			Vis.	LX								V				U VUL		STD				
2442978.6	7.5			Vis.	LX								V				U VUL		STD				
2442982.6	7.2			Vis.	LX								V				U VUL		STD				
2442984.6	7.6			Vis.	LX								V				U VUL		STD				
2442986.7	7.8			Vis.	LX								V				U VUL		STD				
2442995.6	7.5			Vis.	LX								V				U VUL		STD				
2443008.7	7.4			Vis.	LX								V				U VUL		STD				
2443009.6	7.5			Vis.	LX								V				U VUL		STD				
2443010.6	7.8			Vis.	LX								V				U VUL		STD				
2443012.6	7.5			Vis.	LX								V				U VUL		STD				
2443013.6	7.3			Vis.	LX								V				U VUL		STD				
2443015.6	7.3			Vis.	LX								V				U VUL		STD				
2443016.6	7.6			Vis.	LX								V				U VUL		STD				
2443020.6	7.6			Vis.	LX								V				U VUL		STD				
2443021.7	7.3			Vis.	LX								V				U VUL		STD				
2443022.6	7.2			Vis.	LX								V				U VUL		STD				
2443025.5	7.6			Vis.	LX								V				U VUL		STD				
2443028.6	7.6			Vis.	LX								V				U VUL		STD				
2443029.6	7.5			Vis.	LX								V				U VUL		STD				
2443030.5	7.6			Vis.	LX								V				U VUL		STD				
2443033.6	7.6			Vis.	LX								V				U VUL		STD				
2443034.5	7.7			Vis.	LX								V				U VUL		STD				
2443041.6	7.8			Vis.	LX								V				U VUL		STD				
2443044.6	7.4			Vis.	LX								V				U VUL		STD				
2443046.5	7.4			Vis.	LX								V				U VUL		STD				
2443050.6	7.7			Vis.	LX								V				U VUL		STD				
2443051.6	7.8			Vis.	LX								V				U VUL		STD				
2443056.6	7.7			Vis.	LX								V				U VUL		STD				
2443063.6	7.4			Vis.	LX								V				U VUL		STD				
2443066.5	7.7			Vis.	LX								V				U VUL		STD				
2443067.5	7.7			Vis.	LX								V				U VUL		STD				
2443070.5	7.2			Vis.	LX								V				U VUL		STD				
2443074.5	7.7			Vis.	LX								V				U VUL		STD				
2443080.5	7.2			Vis.	LX								V				U VUL		STD				
2443089.5	7.6			Vis.	LX								V				U VUL		STD				
2443093.5	7.4			Vis.	LX								V				U VUL		STD				
2443095.5	7.4			Vis.	LX								V				U VUL		STD				
2443108.5	7.4			Vis.	LX								V				U VUL		STD				
2443110.5	7.3			Vis.	LX								V				U VUL		STD				
2443117.5	7.2			Vis.	LX								V				U VUL		STD				
2443131.5	7.8			Vis.	LX								V				U VUL		STD				
2443137.5	7.5			Vis.	LX								V				U VUL		STD				
2443139.5	7.8			Vis.	LX								V				U VUL		STD				
2443144.5	7.5			Vis.	LX								V				U VUL		STD				
2443145.5	7.6			Vis.	LX								V				U VUL		STD				
2443146.5	7.7			Vis.	LX								V				U VUL		STD				
2443277.7	7.0			Vis.	LX								V				U VUL		STD				
2443285.7	7.2			Vis.	LX								V				U VUL		STD				
2443289.7	7.8			Vis.	LX								V				U VUL		STD				
2443291.7	7.6			Vis.	LX								V				U VUL		STD				
2443292.7	7.4			Vis.	LX								V				U VUL		STD				
2443298.6	7.7			Vis.	LX								V				U VUL		STD				
2443316.7	7.4			Vis.	LX								V				U VUL		STD				
2443317.6	7.3			Vis.	LX								V				U VUL		STD				
2443318.6	7.3			Vis.	LX								V				U VUL		STD				
2443324.7	7.2			Vis.	LX								V				U VUL		STD				
2443327.6	7.3			Vis.	LX								V				U VUL		STD				
2443330.7	7.7			Vis.	LX								V				U VUL		STD				
2443334.7	7.4			Vis.	LX								V				U VUL		STD				
2443339.6	7.6			Vis.	LX								V				U VUL		STD				
2443343.6	7.5			Vis.	LX								V				U VUL		STD				
2443345.7	7.8			Vis.	LX								V				U VUL		STD				
2443347.6	7.8			Vis.	LX								V				U VUL		STD				
2443351.6	7.2			Vis.	LX								V				U VUL		STD				
2443352.6	7.4			Vis.	LX								V				U VUL		STD				
2443371.6	7.8			Vis.	LX								V				U VUL		STD				
2443373.6	7.2			Vis.	LX								V				U VUL		STD				
2443374.6	7.2			Vis.	LX								V				U VUL		STD				
2443375.6	7.0			Vis.	LX								V				U VUL		STD				
2443378.6	7.7			Vis.	LX								V				U VUL		STD				
2443379.6	7.7			Vis.	LX								V				U VUL		STD				
2443381.7	7.0			Vis.	LX								V				U VUL		STD				
2443382.6	7.2			Vis.	LX								V				U VUL		STD				
2443389.6	7.0			Vis.	LX								V				U VUL		STD				
2443390.6	7.2			Vis.	LX								V				U VUL		STD				
2443391.5	7.3			Vis.	LX								V				U VUL		STD				
2443395.6	7.6			Vis.	LX								V				U VUL		STD				
2443397.6	7.1			Vis.	LX								V				U VUL		STD				
2443398.6	7.2			Vis.	LX								V				U VUL		STD				
2443401.5	7.6			Vis.	LX								V				U VUL		STD				
2443415.6	7.3			Vis.	LX								V				U VUL		STD				
2443417.5	7.7			Vis.	LX								V				U VUL		STD				
2443419.6	7.8			Vis.	LX								V				U VUL		STD				
2443420.6	7.4			Vis.	LX								V				U VUL		STD				
2443421.6	7.3			Vis.	LX								V				U VUL		STD				
2443422.6	7.4			Vis.	LX								V				U VUL		STD				
2443423.5	7.3			Vis.	LX								V				U VUL		STD				
2443424.6	7.4			Vis.	LX								V				U VUL		STD				
2443426.6	7.6			Vis.	LX								V				U VUL		STD				
2443427.6	7.7			Vis.	LX								V				U VUL		STD				
2443438.5	7.3			Vis.	LX								V				U VUL		STD				
2443440.5	7.7			Vis.	LX								V				U VUL		STD				
2443445.6	7.1			Vis.	LX								V				U VUL		STD				
2443446.6	7.5			Vis.	LX								V				U VUL		STD				
2443447.5	7.6			Vis.	LX								V				U VUL		STD				
2443449.6	7.8			Vis.	LX								V				U VUL		STD				
2443459.6	7.7			Vis.	LX								V				U VUL		STD				
2443461.6	7.2			Vis.	LX								V				U VUL		STD				
2443466.6	7.8			Vis.	LX								V				U VUL		STD				
2443467.5	7.8			Vis.	LX								V				U VUL		STD				
2443468.5	7.3			Vis.	LX								V				U VUL		STD				
2443476.5	7.4			Vis.	LX								V				U VUL		STD				
2443482.5	7.7			Vis.	LX								V				U VUL		STD				
2443488.5	7.7			Vis.	LX								V				U VUL		STD				
2443489.5	7.8			Vis.	LX								V				U VUL		STD				
2443507.5	7.8			Vis.	LX								V				U VUL		STD				
2443509.5	7.3			Vis.	LX								V				U VUL		STD				
2443511.5	7.4			Vis.	LX								V				U VUL		STD				
2443512.5	7.6			Vis.	LX								V				U VUL		STD				
