JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440026.325	4.49			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	159	1968MNSSA..27..138C	SBRI	
2440026.325	5.165			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	159	1968MNSSA..27..138C	SBRI	
2440026.325	5.585			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	159	1968MNSSA..27..138C	SBRI	
2440028.357	4.76			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	160	1968MNSSA..27..138C	SBRI	
2440028.357	5.62			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	160	1968MNSSA..27..138C	SBRI	
2440028.357	6.16			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	160	1968MNSSA..27..138C	SBRI	
2440028.8	5.5			Vis.	LYR								V				W SGR		STD				
2440029.332	4.885			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	161	1968MNSSA..27..138C	SBRI	
2440029.332	5.81			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	161	1968MNSSA..27..138C	SBRI	
2440029.332	6.44			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	161	1968MNSSA..27..138C	SBRI	
2440031.363	4.97			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	162	1968MNSSA..27..138C	SBRI	
2440031.363	5.84			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	162	1968MNSSA..27..138C	SBRI	
2440031.363	6.365			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	162	1968MNSSA..27..138C	SBRI	
2440032.326	4.48			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	163	1968MNSSA..27..138C	SBRI	
2440032.326	5.1			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	163	1968MNSSA..27..138C	SBRI	
2440032.326	5.46			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	163	1968MNSSA..27..138C	SBRI	
2440034.345	4.525			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	164	1968MNSSA..27..138C	SBRI	
2440034.345	5.235			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	164	1968MNSSA..27..138C	SBRI	
2440034.345	5.675			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	164	1968MNSSA..27..138C	SBRI	
2440043.338	4.70			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	165	1968MNSSA..27..138C	SBRI	
2440043.338	5.535			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	165	1968MNSSA..27..138C	SBRI	
2440043.338	6.055			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	165	1968MNSSA..27..138C	SBRI	
2440044.338	4.85			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	166	1968MNSSA..27..138C	SBRI	
2440044.338	5.775			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	166	1968MNSSA..27..138C	SBRI	
2440044.338	6.405			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	166	1968MNSSA..27..138C	SBRI	
2440045.310	5.04			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	167	1968MNSSA..27..138C	SBRI	
2440045.310	6.02			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	167	1968MNSSA..27..138C	SBRI	
2440045.310	6.705			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	167	1968MNSSA..27..138C	SBRI	
2440047.295	4.61			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	168	1968MNSSA..27..138C	SBRI	
2440047.295	5.3			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	168	1968MNSSA..27..138C	SBRI	
2440047.295	5.705			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	168	1968MNSSA..27..138C	SBRI	
2440050.317	4.50			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	169	1968MNSSA..27..138C	SBRI	
2440050.317	5.225			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	169	1968MNSSA..27..138C	SBRI	
2440050.317	5.67			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	169	1968MNSSA..27..138C	SBRI	
2440053.309	5.08			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	170	1968MNSSA..27..138C	SBRI	
2440053.309	6.055			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	170	1968MNSSA..27..138C	SBRI	
2440053.309	6.75			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	170	1968MNSSA..27..138C	SBRI	
2440074.344	4.82			V	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	171	1968MNSSA..27..138C	SBRI	
2440074.344	5.71			B	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	171	1968MNSSA..27..138C	SBRI	
2440074.344	6.29			U	CS		NA			B. SKIFF; 1968MNSSA..27..138C	1		Z				W SGR	AAVSO	STD	171	1968MNSSA..27..138C	SBRI	
