JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440027.7	6.0			Vis.	SKL								V				X CYG		STD				
2440035.7	7.2			Vis.	SKL								V				X CYG		STD				
2440037.7	7.1			Vis.	SKL								V				X CYG		STD				
2440038.7	7.2			Vis.	SKL								V				X CYG		STD				
2440039.7	7.0			Vis.	SKL								V				X CYG		STD				
2440040.7	7.3			Vis.	SKL								V				X CYG		STD				
2440059.7	7.3			Vis.	SKL								V				X CYG		STD				
2440061.7	7.0			Vis.	SKL								V				X CYG		STD				
2440063.7	6.0			Vis.	SKL								V				X CYG		STD				
2440070.7	6.9			Vis.	SKL								V				X CYG		STD				
2440071.7	6.9			Vis.	SKL								V				X CYG		STD				
2440093.7	6.3			Vis.	SKL								V				X CYG		STD				
2440101.8	6.7			Vis.	SKL								V				X CYG		STD				
2440102.8	6.8			Vis.	SKL								V				X CYG		STD				
2440103.8	6.6			Vis.	SKL								V				X CYG		STD				
2440121.8	7.0			Vis.	SKL								V				X CYG		STD				
2440127.8	6.0			Vis.	SKL								V				X CYG		STD				
2440150.7	6.6			Vis.	CR								V				X CYG		STD				
2440154.8	6.7			Vis.	CR								V				X CYG		STD				
2440215.7	6.6			Vis.	SKL								V				X CYG		STD				
2440220.7	7.2			Vis.	SKL								V				X CYG		STD				
2440223.7	6.7			Vis.	SKL								V				X CYG		STD				
2440444.8	6.7			Vis.	CR								V				X CYG		STD				
2440464.5	7.6			Vis.	ELD								V				X CYG		STD				
2440465.5	7.5			Vis.	ELD								V				X CYG		STD				
2440469.56	7.0			Vis.	ELD								V				X CYG		STD				
2440471.54	5.8			Vis.	ELD								V				X CYG		STD				
2440475.7	6.1			Vis.	CR								V				X CYG		STD				
2440477.5	6.8			Vis.	OV								V				X CYG		STD				
2440479.5	7.1			Vis.	OV								V				X CYG		STD				
2440482.6	7.2			Vis.	CR								V				X CYG		STD				
2440483.6	7.3			Vis.	OV								V				X CYG		STD				
2440485.5	7.1			Vis.	OV								V				X CYG		STD				
2440486.5	6.6			Vis.	OV								V				X CYG		STD				
2440487.6	6.3			Vis.	OV								V				X CYG		STD				
2440488.5	6.1			Vis.	OV								V				X CYG		STD				
2440493.42	7.1			Vis.	ELD								V				X CYG		STD				
2440493.5	6.8			Vis.	OV								V				X CYG		STD				
2440495.5	7.2			Vis.	OV								V				X CYG		STD				
2440499.5	7.2			Vis.	OV								V				X CYG		STD				
2440500.5	7.3			Vis.	OV								V				X CYG		STD				
2440504.6	6.4			Vis.	OV								V				X CYG		STD				
2440506.6	6.7			Vis.	OV								V				X CYG		STD				
2440506.8	6.4			Vis.	CR								V				X CYG		STD				
2440509.6	6.9			Vis.	OV								V				X CYG		STD				
2440510.5	7.1			Vis.	OV								V				X CYG		STD				
2440512.5	7.3			Vis.	OV								V				X CYG		STD				
2440513.5	7.5			Vis.	OV								V				X CYG		STD				
2440520.5	6.4			Vis.	OV								V				X CYG		STD				
2440523.5	6.6			Vis.	OV								V				X CYG		STD				
2440541.6	7.3			Vis.	OV								V				X CYG		STD				
2440542.5	6.9			Vis.	OV								V				X CYG		STD				
2440552.5	6.1			Vis.	BRJ								V				X CYG		STD				
2440552.5	6.6			Vis.	OV								V				X CYG		STD				
2440554.5	6.1			Vis.	BRJ								V				X CYG		STD				
2440561.5	7.3			Vis.	BRJ								V				X CYG		STD				
2440561.6	7.2			Vis.	OV								V				X CYG		STD				
2440562.6	7.3			Vis.	BRJ								V				X CYG		STD				
2440562.6	7.3			Vis.	OV								V				X CYG		STD				
