JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440150.8	3.9			Vis.	SWR								V				ZET GEM		STD				
2440156.7	3.9			Vis.	SWR								V				ZET GEM		STD				
2440161.7	3.6			Vis.	SWR								V				ZET GEM		STD				
2440171.9	3.6			Vis.	SWR								V				ZET GEM		STD				
2440173.8	3.7			Vis.	SWR								V				ZET GEM		STD				
2440180.7	3.7			Vis.	SWR								V				ZET GEM		STD				
2440183.8	3.7			Vis.	SWR								V				ZET GEM		STD				
2440186.8	4.1			Vis.	SWR								V				ZET GEM		STD				
2440206.4340	4.0			Vis.	ILS								V				ZET GEM		STD				
2440219.6	3.8			Vis.	SWR								V				ZET GEM		STD				
2440233.6	3.8			Vis.	SWR								V				ZET GEM		STD				
2440234.7	3.8			Vis.	SWR								V				ZET GEM		STD				
2440236.7	4.2			Vis.	CR								V				ZET GEM		STD				
2440236.7	3.8			Vis.	SWR								V				ZET GEM		STD				
2440244.7	3.7			Vis.	SKL								V				ZET GEM		STD				
2440245.7	3.7			Vis.	SKL								V				ZET GEM		STD				
2440249.6	4.1			Vis.	LYR								V				ZET GEM		STD				
2440251.7	3.9			Vis.	CR								V				ZET GEM		STD				
2440262.6	3.8			Vis.	CR								V				ZET GEM		STD				
2440269.7	4.1			Vis.	CR								V				ZET GEM		STD				
2440270.6	4.3			Vis.	CR								V				ZET GEM		STD				
2440274.5	3.7			Vis.	KAN								V				ZET GEM		STD				
2440277.7	3.8			Vis.	SKL								V				ZET GEM		STD				
2440282.6	3.5			Vis.	CR								V				ZET GEM		STD				
2440283.7	3.4			Vis.	CR								V				ZET GEM		STD				
2440286.3715	3.8			Vis.	ILS								V				ZET GEM		STD				
2440288.7	4.4			Vis.	CR								V				ZET GEM		STD				
2440292.7	4.0			Vis.	CR								V				ZET GEM		STD				
2440295.6	4.0			Vis.	CR								V				ZET GEM		STD				
2440296.7	3.8			Vis.	CR								V				ZET GEM		STD				
2440297.5	4.0			Vis.	KAN								V				ZET GEM		STD				
2440297.7	4.0			Vis.	CR								V				ZET GEM		STD				
2440301.8	3.3			Vis.	HR								V				ZET GEM		STD				
2440302.8	3.4			Vis.	AC								V				ZET GEM		STD				
2440305.6	3.9			Vis.	CR								V				ZET GEM		STD				
2440306.7	3.9			Vis.	CR								V				ZET GEM		STD				
2440310.7	4.1			Vis.	SKL								V				ZET GEM		STD				
2440311.6	3.6			Vis.	AC								V				ZET GEM		STD				
2440311.6	3.8			Vis.	SWR								V				ZET GEM		STD				
2440311.7	3.5			Vis.	SKL								V				ZET GEM		STD				
2440312.7	3.8			Vis.	SKL								V				ZET GEM		STD				
2440312.8	3.5			Vis.	CR								V				ZET GEM		STD				
2440313.5	3.8			Vis.	SKL								V				ZET GEM		STD				
2440313.6	3.7			Vis.	SWR								V				ZET GEM		STD				
2440314.5	3.7			Vis.	SKL								V				ZET GEM		STD				
2440315.7	4.0			Vis.	CR								V				ZET GEM		STD				
2440316.5	3.7			Vis.	SKL								V				ZET GEM		STD				
2440316.7	4.1			Vis.	CR								V				ZET GEM		STD				
2440317.5	4.2			Vis.	SKL								V				ZET GEM		STD				
2440317.7	3.6			Vis.	AC								V				ZET GEM		STD				
2440319.7	4.2			Vis.	CR								V				ZET GEM		STD				
2440321.5	3.7			Vis.	SKL								V				ZET GEM		STD				
2440321.5	3.8			Vis.	SWR								V				ZET GEM		STD				
2440323.5	3.8			Vis.	SWR								V				ZET GEM		STD				
2440323.7	3.4			Vis.	AC								V				ZET GEM		STD				
2440323.7	3.8			Vis.	CR								V				ZET GEM		STD				
2440323.7	3.7			Vis.	TYW								V				ZET GEM		STD				
2440324.5	3.8			Vis.	SKL								V				ZET GEM		STD				
2440324.6	3.8			Vis.	SWR								V				ZET GEM		STD				
2440330.7	3.7			Vis.	AC								V				ZET GEM		STD				
2440331.5	3.9			Vis.	SKL								V				ZET GEM		STD				
2440331.5	3.9			Vis.	SWR								V				ZET GEM		STD				
2440332.7	3.9			Vis.	CR								V				ZET GEM		STD				
2440333.5	3.7			Vis.	SKL								V				ZET GEM		STD				
2440333.7	4.0			Vis.	CR								V				ZET GEM		STD				
2440334.5	3.4			Vis.	SKL								V				ZET GEM		STD				
2440335.5	3.8			Vis.	SKL								V				ZET GEM		STD				
2440335.6	3.2			Vis.	AC								V				ZET GEM		STD				
2440336.5	3.6			Vis.	SKL								V				ZET GEM		STD				
2440336.6	3.4			Vis.	AC								V				ZET GEM		STD				
2440338.5	4.3			Vis.	SKL								V				ZET GEM		STD				
2440339.6	3.7			Vis.	SWR								V				ZET GEM		STD				
2440340.5	4.2			Vis.	SKL								V				ZET GEM		STD				
2440340.6	3.6			Vis.	AC								V				ZET GEM		STD				
2440347.7	3.8			Vis.	SKL								V				ZET GEM		STD				
2440348.6	3.6			Vis.	AC								V				ZET GEM		STD				
2440348.7	4.2			Vis.	SKL								V				ZET GEM		STD				
2440349.7	4.2			Vis.	SKL								V				ZET GEM		STD				
2440350.7	4.1			Vis.	CR								V				ZET GEM		STD				
2440350.7	4.0			Vis.	SKL								V				ZET GEM		STD				
2440352.6	3.9			Vis.	SKL								V				ZET GEM		STD				
2440355.7	3.7			Vis.	SKL								V				ZET GEM		STD				
2440357.7	3.9			Vis.	CR								V				ZET GEM		STD				
2440359.7	3.9			Vis.	AC								V				ZET GEM		STD				
2440360.7	4.0			Vis.	AC								V				ZET GEM		STD				
2440362.7	3.8			Vis.	SKL								V				ZET GEM		STD				
2440447.9	3.8			Vis.	AC								V				ZET GEM		STD				
2440454.9	3.7			Vis.	AC								V				ZET GEM		STD				
2440455.9	3.7			Vis.	AC								V				ZET GEM		STD				
2440458.9	3.8			Vis.	AC								V				ZET GEM		STD				
2440471.9	3.8			Vis.	AC								V				ZET GEM		STD				
2440473.8	3.8			Vis.	AC								V				ZET GEM		STD				
2440474.9	3.7			Vis.	AC								V				ZET GEM		STD				
2440503.8	3.8			Vis.	KAN								V				ZET GEM		STD				
2440506.9	3.8			Vis.	AC								V				ZET GEM		STD				
2440512.7	3.9			Vis.	AC								V				ZET GEM		STD				
2440519.0	3.9			Vis.	AC								V				ZET GEM		STD				
2440527.7	3.7			Vis.	BRG								V				ZET GEM		STD				
