Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |trigger_time           |t90     |t90_error|t90_start|fluence   |fluence_error|flux_1024|flux_1024_error|flux_1024_time|flux_64  |flux_64_error|flnc_band_ampl|flnc_band_ampl_pos_err|flnc_band_ampl_neg_err|flnc_band_epeak|flnc_band_epeak_pos_err|flnc_band_epeak_neg_err|flnc_band_alpha|flnc_band_alpha_pos_err|flnc_band_alpha_neg_err|flnc_band_beta|flnc_band_beta_pos_err|flnc_band_beta_neg_err|flnc_spectrum_start|flnc_spectrum_stop|pflx_best_fitting_model|pflx_best_model_redchisq|flnc_best_fitting_model|flnc_best_model_redchisq|
|GRB120830212|22 31 28.8|-80 02 24|2012-08-30 05:04:52.744|  16.064|    3.649|    0.448|7.5151e-06|   2.3629e-07|   8.6556|         0.4512|         1.344|  14.8420|       2.0220|  1.907516e-02|          2.260342e-03|          2.260342e-03|   2.066716e+02|           1.934743e+01|           1.934743e+01|  -7.385905e-01|           9.011394e-02|           9.011394e-02| -2.908419e+00|          7.539405e+00|          7.539405e+00|             -1.024|            17.408|pflx_comp              |                   1.075|flnc_comp              |                   0.891|
|GRB140323433|23 47 50.2|-79 54 18|2014-03-23 10:22:53.120| 111.426|    3.027|    5.056|3.2424e-05|   1.9208e-07|   9.6741|         0.2758|        25.088|  13.1489|       1.2081|  1.208579e-02|          5.032783e-04|          5.032783e-04|   1.432164e+02|           2.111698e+01|           2.111698e+01|  -1.041237e+00|           2.542675e-02|           2.542675e-02| -5.704211e+00|          2.321102e+01|          2.321102e+01|             -2.048|           129.020|pflx_comp              |                   0.955|flnc_comp              |                   1.131|
|GRB181007737|14 04 52.8|-79 41 24|2018-10-07 17:41:28.372|  23.552|    0.362|   -0.256|3.0597e-06|   3.0382e-08|   2.8347|         0.2137|        -0.192|   4.4329|       0.9410|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                   |                  |                       |                        |                       |                        |
|GRB100325246|13 56 33.6|-79 06 00|2010-03-25 05:54:43.949|   8.192|    1.086|   -1.536|1.3340e-06|   1.7358e-08|   4.9033|         0.2367|        -0.512|   6.4777|       0.9864|  4.793454e-02|          2.380955e-02|          2.380955e-02|   3.498019e+01|           5.283089e+00|           5.283089e+00|  -6.888088e-01|           2.983040e-01|           2.983040e-01| -2.467626e+00|          2.204204e-01|          2.204204e-01|             -2.048|             7.168|pflx_comp              |                   1.089|flnc_comp              |                   1.003|
|GRB100507577|00 11 36.0|-79 00 36|2010-05-07 13:51:15.728|  44.033|    5.221|   -1.024|9.9681e-06|   1.1543e-07|   3.2911|         0.2039|        15.168|   4.7504|       0.9500|  4.973427e-02|          7.101182e-03|          7.101182e-03|   1.336812e+02|           7.531464e+00|           7.531464e+00|   4.626522e-01|           1.081798e-01|           1.081798e-01| -3.466067e+00|          1.403857e+00|          1.403857e+00|            -13.312|            31.744|pflx_plaw              |                   1.157|flnc_comp              |                   0.998|
|GRB171206122|00 37 55.2|-78 12 00|2017-12-06 02:55:44.937|  15.360|    3.083|   -1.536|1.5221e-06|   7.2998e-08|   4.8222|         0.4886|         0.448|  11.4606|       3.5981|  7.276174e-03|          1.115594e-03|          1.115594e-03|   6.299004e+02|           2.097340e+02|           2.097340e+02|  -1.292658e+00|           1.413209e-01|           1.413209e-01| -6.331875e+00|          3.790621e+02|          3.790621e+02|             -1.024|             3.072|pflx_plaw              |                   0.989|flnc_comp              |                   1.001|
|GRB140518709|16 16 09.6|-77 51 36|2014-05-18 17:00:43.425|   0.704|    0.466|   -0.640|3.8053e-07|   2.6848e-08|   2.4540|         0.3526|        -1.024|   5.3743|       1.1495|  5.633034e+03|          2.217436e+05|          2.217436e+05|   1.829023e+02|           6.933234e+01|           6.933234e+01|   2.663325e+01|           7.372793e+01|           7.372793e+01| -1.975177e+00|          3.770473e-01|          3.770473e-01|             -0.192|            -0.128|pflx_plaw              |                   1.026|flnc_plaw              |                   1.025|
|GRB130623488|01 22 53.5|-77 47 02|2013-06-23 11:42:47.046|  22.272|    0.923|   -1.792|2.4645e-06|   3.0042e-08|   5.2588|         0.2332|        13.888|   8.3458|       1.2823|  1.909407e-02|          2.033522e-02|          2.033522e-02|   2.806861e+01|           4.528196e+00|           4.528196e+00|  -1.095303e+00|           3.499717e-01|           3.499717e-01| -2.362571e+00|          1.704245e-01|          1.704245e-01|             -2.048|            20.480|pflx_plaw              |                   1.142|flnc_comp              |                   1.061|
|GRB110212550|20 45 19.2|-74 30 00|2011-02-12 13:12:33.523|   0.064|    0.036|   -0.048|6.3493e-07|   1.2257e-08|   2.5032|         0.1914|        -0.576|  17.3369|       1.1526|  7.056738e-02|          7.358178e-03|          7.358178e-03|   4.761722e+02|           7.283395e+01|           7.283395e+01|  -4.482385e-01|           1.132326e-01|           1.132326e-01| -3.612476e+00|          4.107279e+00|          4.107279e+00|             -0.064|             0.064|pflx_comp              |                   0.985|flnc_comp              |                   1.169|
|GRB161012637|10 41 43.2|-74 16 48|2016-10-12 15:17:14.854|   6.400|    3.114|   -1.792|6.1394e-07|   2.5983e-08|   2.1560|         0.2873|        -0.640|   5.4487|       1.3103|  1.460630e-02|          4.969050e-03|          4.969050e-03|   4.830930e+01|           6.234101e+01|           6.234101e+01|  -8.243949e-01|           6.578588e-01|           6.578588e-01| -1.791508e+00|          1.654377e-01|          1.654377e-01|             -2.048|            47.104|pflx_plaw              |                   1.123|flnc_plaw              |                   0.962|
|GRB141221897|08 24 04.8|-74 12 36|2014-12-21 21:31:48.787|  32.513|    1.846|   -1.280|7.4393e-06|   7.1278e-08|   3.5808|         0.2186|         5.312|   4.9781|       0.8917|  1.368762e-02|          1.635042e-03|          1.635042e-03|   1.606135e+02|           1.069327e+01|           1.069327e+01|  -6.921365e-01|           8.119756e-02|           8.119756e-02| -3.132551e+00|          1.974021e+01|          1.974021e+01|             -2.048|            33.792|pflx_comp              |                   1.074|flnc_comp              |                   1.113|
|GRB150602840|19 19 28.8|-74 12 36|2015-06-02 20:09:18.637|  10.496|    0.724|   -0.256|4.7133e-06|   3.3325e-08|   3.6651|         0.2070|         6.080|   6.4854|       0.9903|  2.392247e-02|          3.419951e-03|          3.419951e-03|   1.991178e+02|           1.383052e+01|           1.383052e+01|   2.917515e-02|           1.124966e-01|           1.124966e-01| -2.636471e+00|          3.162894e-01|          3.162894e-01|             -2.048|            11.264|pflx_comp              |                   0.954|flnc_comp              |                   1.127|
|GRB110517453|19 44 21.6|-73 45 36|2011-05-17 10:52:35.409|   0.576|    1.810|   -0.064|9.8898e-08|   2.3388e-08|   1.0898|         0.1964|        -0.128|   5.7809|       1.0357|  6.891558e-01|          4.966782e+00|          4.966782e+00|   7.692642e+01|           3.440377e+01|           3.440377e+01|   1.431132e+00|           2.261681e+00|           2.261681e+00| -1.411466e+00|          4.824792e-01|          4.824792e-01|             -0.064|             0.128|pflx_plaw              |                   0.866|flnc_plaw              |                   1.033|
