MCXC,OName,AName,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RAdeg,DEdeg,GLON,GLAT,z,Cat,Sub-Cat,Scale,L500,M500,R500,Notes,Cat1,Cat2,Cat3,Cat4,L500r1,L500r2,L500r3,L500r4,r
J0000.1+0816,RXC J0000.1+0816,UGC 12890,0,0,7.1,,8,16,28,0.03,8.274,101.783,-52.477,0.0396,NORAS/REFLEX,NORAS,0.784,0.19628,0.7373,0.6296,,BCS,,,,1.084,,,,-0.49006049429220355
J0000.4-0237,RXC J0000.4-0237,,0,0,24.7,-,2,37,30,0.103,-2.625,94.268,-62.622,0.0379,SGP,SGP,0.752,0.052338,0.3297,0.4817,,,,,,,,,,-0.4908979504552985
J0001.6-1540,RXC J0001.6-1540,,0,1,39.0,-,15,40,52,0.412,-15.681,75.129,-73.733,0.1246,SGP,SGP,2.234,0.814902,1.6557,0.8021,,,,,,,,,,
J0001.9+1204,RXC J0001.9+1204,A2692,0,1,57.0,,12,4,23,0.488,12.073,104.308,-49.001,0.2033,NORAS/REFLEX,NORAS,3.342,1.990205,2.6927,0.9178,,,,,,,,,,
J0003.1-0605,RXCJ0003.1-0605,A2697,0,3,11.8,-,6,5,10,0.799,-6.086,92.169,-66.033,0.232,NORAS/REFLEX,REFLEX,3.698,6.107094,5.2188,1.1326,,SGP,,,,0.952,,,,
J0003.2-3555,RXCJ0003.2-3555,A2717,0,3,12.1,-,35,55,38,0.801,-35.927,349.33,-76.49,0.049,NORAS/REFLEX,REFLEX,0.959,0.441862,1.2016,0.7388,losStr,SGP,,,,0.886,,,,-0.4855196142700461
J0003.8+0203,RXCJ0003.8+0203,A2700,0,3,50.6,,2,3,48,0.961,2.063,99.61,-58.637,0.0924,NORAS/REFLEX,REFLEX,1.719,0.846881,1.7342,0.8233,,eBCS,SGP,,,0.92,0.922,,,-0.46430026883136716
J0004.9+1142,RXC J0004.9+1142,UGC 00032,0,4,59.4,,11,42,2,1.247,11.701,105.239,-49.569,0.0761,NORAS/REFLEX,NORAS,1.443,0.518795,1.3009,0.752,,eBCS,,,,0.967,,,,-0.4723642366254167
J0005.3+1612,RXC J0005.3+1612,A2703,0,5,22.6,,16,12,38,1.344,16.211,107.133,-45.244,0.1164,NORAS/REFLEX,NORAS,2.107,1.579007,2.4929,0.9218,B,EMSS_1994,,,,0.533,,,,
J0006.0-3443,RXCJ0006.0-3443,A2721,0,6,3.0,-,34,43,27,1.513,-34.724,352.147,-77.668,0.1147,NORAS/REFLEX,REFLEX,2.08,1.809494,2.7122,0.9486,,SGP,,,,0.949,,,,
J0006.3+1052,RXC J0006.3+1052,ZwCl15,0,6,21.7,,10,52,4,1.591,10.868,105.386,-50.462,0.1698,NORAS/REFLEX,NORAS,2.895,2.272747,2.9941,0.9621,,eBCS,,,,0.933,,,,
J0008.9+4110,ZwCl28,ZwCl28,0,8,56.9,,41,10,37,2.237,41.177,114.386,-20.989,0.1537,BCS,eBCS,2.668,2.110832,2.8963,0.9569,,,,,,,,,,
J0009.7-3516,MS0007.2-3532,,0,9,46.5,-,35,16,30,2.444,-35.275,347.884,-77.942,0.05,EMSS,EMSS_1994,0.977,0.261854,0.8728,0.6639,,,,,,,,,,-0.485040957196496
J0011.3-2851,RXCJ0011.3-2851,A2734,0,11,20.7,-,28,51,18,2.836,-28.855,19.562,-80.986,0.062,NORAS/REFLEX,REFLEX,1.195,1.086002,2.0611,0.8807,losStr,SGP,,,,0.914,,,,-0.47929183874649883
J0011.7-1523,MACSJ0011.7-1523,,0,11,42.8,-,15,23,22,2.928,-15.389,82.746,-75.067,0.378,MACS,MACS_BRIGHT,5.188,8.9,7.2,1.19,,,,,,,,,,
J0011.7+3225,RXC J0011.7+3225,A0007,0,11,44.4,,32,25,1,2.935,32.417,113.289,-29.71,0.1073,NORAS/REFLEX,NORAS,1.962,2.571958,3.3785,1.0232,,BCS,,,,1.042,,,,
J0013.6-1930,RXCJ0013.6-1930,A0013,0,13,38.3,-,19,30,8,3.409,-19.502,72.276,-78.456,0.094,NORAS/REFLEX,REFLEX,1.746,1.236332,2.1818,0.8883,losStr,SGP,,,,0.955,,,,-0.4635213871244733
J0014.3-6604,RXCJ0014.3-6604,A2746,0,14,18.4,-,66,4,39,3.577,-66.077,308.85,-50.622,0.1599,NORAS/REFLEX,REFLEX,2.756,2.827248,3.4455,1.0117,X,,,,,,,,,
J0014.3-3023,RXCJ0014.3-3023,A2744,0,14,18.8,-,30,23,0,3.578,-30.383,8.936,-81.24,0.3066,NORAS/REFLEX,REFLEX,4.522,11.818114,7.3614,1.2359,,SGP,MACS_BRIGHT,,,0.985,1.139,,,
J0014.3+0854,MS0011.7+0837,,0,14,19.8,,8,54,0,3.583,8.9,107.635,-52.866,0.163,EMSS,EMSS_1994,2.8,1.927804,2.7218,0.9342,,,,,,,,,,
J0015.4-2350,RXCJ0015.4-2350,A0014,0,15,24.0,-,23,50,42,3.85,-23.845,52.93,-81.233,0.0645,NORAS/REFLEX,REFLEX,1.24,0.326305,0.9884,0.6888,X,SGP,,,,0.956,,,,-0.47806595966614934
