# Abell 1995 ACIS-I surface brightness profile
# LaRoque et al. 2006, ApJ, 652, 917
# Points scanned from Figure 1 using WebPlotDigitizer
#
# radius:	kpc
# surf_brt	cts/s/arcmin^2/cm^2
# err		cts/s/arcmin^2/cm^2
#
radius 	surf_brt	err
 1.175466e+01   4.790571e-04   3.241590e-05
 3.535281e+01   4.226571e-04   1.885760e-05
 5.921263e+01   3.906171e-04   8.619000e-06
 8.291950e+01   3.311068e-04   1.101900e-05
 1.062206e+02   2.965275e-04   6.542900e-06
 1.306875e+02   2.279787e-04   5.030300e-06
 1.546046e+02   1.955229e-04   6.506900e-06
 1.792029e+02   1.471198e-04   3.246200e-06
 2.017544e+02   1.289897e-04   2.846100e-06
 2.248372e+02   1.059312e-04   3.525300e-06
 2.480397e+02   8.328302e-05   2.767550e-06
 2.710236e+02   7.067796e-05   2.348680e-06
 2.960816e+02   5.741886e-05   1.908070e-06
 3.202770e+02   4.716120e-05   2.104180e-06
 3.430121e+02   3.831743e-05   1.709590e-06
 3.672401e+02   2.884251e-05   1.286860e-06
 3.893880e+02   2.292907e-05   1.285830e-06
 4.129300e+02   1.883465e-05   1.274470e-06
 4.379983e+02   1.633898e-05   9.162600e-07
 4.597840e+02   1.270926e-05   8.599900e-07
 4.829713e+02   1.151768e-05   9.142800e-07
 5.068985e+02   8.576367e-06   7.819310e-07
 5.269555e+02   6.969091e-06   6.353900e-07
 5.473940e+02   4.755772e-06   6.062950e-07
 5.751077e+02   4.502178e-06   6.299040e-07
 5.988486e+02   5.360049e-06   6.836170e-07
